Position,Bin_Number,Outlier,File #,DateTime,Operator,Name,ID,Field1,Field2,test,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Cal Check
,,0,,1/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,4781,1/30/2006 17:12,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,0.1644,0.1008,6.9156,0.1665,37.1843,0.1258,0.0171,0.0041,0.0617,0.0042,4.1689,0.0258,0.5624,0.0074,0.1405,0.0041,0.0014,0.0001,0.0033,0.0007,0.1018,0.0022,1.6281,0.0151,< LOD,0.0011,0.0055,0.001,0.0185,0.001,0.0537,0.0013,0.008,0.001,< LOD,0.0003,0.0125,0.0005,0.0154,0.0006,0.0235,0.0007,0.0024,0.0021,< LOD,0.002,0.002,0.0015,0.0167,0.0053,0.0932,0.0164,< LOD,0.0009,< LOD,0.0007,0.0847,0.0024,Passed
,,0,4782,1/30/2006 17:13,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,2.5443,0.7049,2.5223,0.0822,22.1895,0.0588,0.0043,0.0028,< LOD,0.008,1.2026,0.0134,0.2209,0.0055,0.0146,0.0028,< LOD,0.0006,< LOD,0.0012,0.0216,0.0016,0.5348,0.0085,< LOD,0.0007,0.0014,0.0007,0.0078,0.0008,0.0309,0.0014,0.0026,0.0006,< LOD,0.0003,0.0062,0.0008,0.0035,0.0005,0.0044,0.0005,< LOD,0.0016,< LOD,0.0015,< LOD,0.0009,< LOD,0.0042,< LOD,0.0152,< LOD,0.0012,< LOD,0.0007,0.0221,0.0018,Passed
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,4784,1/1/2006 12:02,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,0.5156,0.291,6.1024,0.138,33.508,0.1034,0.0107,0.0037,0.0501,0.0055,3.1006,0.0219,0.5228,0.0074,0.106,0.0038,0.0024,0.0003,0.004,0.0009,0.0738,0.0021,1.279,0.0133,< LOD,0.0007,0.0041,0.0009,0.0156,0.001,0.0494,0.0014,0.0047,0.0007,< LOD,0.0003,0.0101,0.0006,0.0074,0.0005,0.0108,0.0005,< LOD,0.0016,< LOD,0.0015,< LOD,0.001,0.0111,0.0052,0.0461,0.0163,< LOD,0.0011,< LOD,0.0006,0.0453,0.0017,Passed
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,4786,1/30/2006 17:27,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,0.1156,0.0916,7.0068,0.1692,37.3193,0.1272,0.0157,0.0042,0.0559,0.0041,4.1995,0.0259,0.5683,0.0074,0.1387,0.0041,0.0011,0.0001,0.0043,0.0007,0.104,0.0022,1.6797,0.0153,0.0013,0.0012,0.0055,0.001,0.0188,0.001,0.0544,0.0013,0.0068,0.001,< LOD,0.0004,0.0118,0.0005,0.0155,0.0006,0.0252,0.0007,< LOD,0.0022,< LOD,0.0021,< LOD,0.0015,0.0155,0.0053,0.1141,0.0162,< LOD,0.0009,< LOD,0.0007,0.0902,0.0025,Passed
1,T5R1,0,4787,1/30/2006 17:40,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,3.7308,0.7964,0.6645,0.0525,16.1672,0.0309,< LOD,0.0022,0.0219,0.0088,0.2583,0.0062,0.2246,0.0049,< LOD,0.0017,0.001,0.0005,< LOD,0.0007,< LOD,0.0007,0.2628,0.0059,< LOD,0.0022,< LOD,0.0004,< LOD,0.0004,0.001,0.0004,< LOD,0.0008,< LOD,0.0007,0.0028,0.0005,0.0283,0.0017,0.0065,0.0013,< LOD,0.005,< LOD,0.0046,< LOD,0.003,< LOD,0.0031,0.017,0.0136,< LOD,0.0006,< LOD,0.0015,< LOD,0.0035,Passed
1,T5R1,0,4788,1/30/2006 17:42,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,3.2868,0.8036,0.7226,0.0445,16.1844,0.0254,< LOD,0.0021,< LOD,0.0078,0.249,0.0061,0.196,0.0046,< LOD,0.0015,< LOD,0.0004,< LOD,0.0007,< LOD,0.0006,0.1639,0.0047,< LOD,0.0028,0.0005,0.0004,< LOD,0.0003,0.0008,0.0003,0.0012,0.001,< LOD,0.0009,0.0021,0.0004,0.029,0.0021,0.0077,0.0016,< LOD,0.0064,< LOD,0.0058,0.0103,0.0039,< LOD,0.0025,< LOD,0.0117,< LOD,0.0004,< LOD,0.0019,< LOD,0.0045,Passed
2,T5R1,0,4789,1/30/2006 17:44,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,2.1872,0.728,2.5151,0.0842,19.887,0.0505,0.0047,0.0028,0.1633,0.0105,0.7371,0.0103,0.6696,0.008,0.1217,0.0035,0.0031,0.0006,< LOD,0.0008,0.0073,0.001,0.5446,0.0087,< LOD,0.0018,< LOD,0.0005,0.0007,0.0004,0.0014,0.0004,0.0008,0.0006,< LOD,0.0005,0.0059,0.0006,0.0395,0.0014,0.0103,0.001,< LOD,0.0037,< LOD,0.0036,0.0034,0.0024,< LOD,0.0042,0.0705,0.0185,< LOD,0.0007,< LOD,0.0011,0.0028,0.0025,Passed
2,T5R1,0,4790,1/30/2006 17:46,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.7324,0.7426,2.9629,0.1113,21.4223,0.067,0.0035,0.003,0.7535,0.0163,1.7381,0.0157,0.6794,0.0082,0.0238,0.0029,< LOD,0.0005,< LOD,0.0009,0.0136,0.0011,0.6697,0.0098,< LOD,0.0011,0.0012,0.0006,0.001,0.0005,0.0023,0.0005,< LOD,0.0004,< LOD,0.0004,0.0123,0.0008,0.0326,0.0009,0.0099,0.0007,< LOD,0.0026,< LOD,0.0026,0.002,0.0017,< LOD,0.0052,0.1086,0.0225,< LOD,0.0008,< LOD,0.0007,0.0024,0.0017,Passed
,,1,4791,1/30/2006 17:48,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,0,0,16.8046,0.1969,44.928,0.1112,0.0461,0.005,< LOD,0.0002,6.1106,0.0302,0.7106,0.0074,0.2196,0.0043,0,0,< LOD,0.0003,0.0207,0.0014,0.6046,0.009,< LOD,0.0008,< LOD,0.0006,< LOD,0.0003,0.0003,0.0001,0.0014,0.0004,< LOD,0.0003,0.0019,0,0.0293,0.0008,0.003,0.0006,< LOD,0.0024,< LOD,0.0023,0.0054,0.0022,< LOD,0.0035,0.0834,0.0075,< LOD,0.0006,< LOD,0.0007,0.0031,0.0014,Passed
3,T5R1,0,4792,1/30/2006 17:49,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,2.0879,0.7402,4.2138,0.1364,22.4702,0.0768,0.0248,0.0037,< LOD,0.0071,2.8566,0.0199,1.2211,0.0107,< LOD,0.0028,< LOD,0.0005,< LOD,0.0009,0.0323,0.0013,0.7034,0.0102,< LOD,0.0009,< LOD,0.0006,< LOD,0.0004,0.0019,0.0005,0.0004,0.0004,< LOD,0.0003,0.0203,0.0009,0.0215,0.0008,0.0057,0.0006,< LOD,0.0026,< LOD,0.0026,< LOD,0.0018,< LOD,0.006,0.5306,0.0302,< LOD,0.0008,< LOD,0.0006,0.0031,0.0015,Passed
4,T5R1,0,4793,1/30/2006 17:51,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.2398,0.4465,6.5068,0.1332,28.7058,0.083,0.0299,0.0042,< LOD,0.006,2.5795,0.0198,0.8159,0.0089,0.2352,0.0046,0.0067,0.0004,0.0034,0.0009,0.059,0.0018,2.6794,0.0195,< LOD,0.0014,0.001,0.0008,0.0018,0.0006,0.0067,0.0007,0.0012,0.0004,< LOD,0.0003,0.012,0.0007,0.0256,0.0007,0.028,0.0007,< LOD,0.002,< LOD,0.002,< LOD,0.0014,< LOD,0.0054,0.1084,0.0209,< LOD,0.0009,< LOD,0.0006,0.0034,0.0014,Passed
