"","Date_Group","Bin_Number","Position","n_reps","Element","Value","Treatment_Number","Surface","Inoculation","Group"
"1","Week_10","T5R1",1,2,"Al_mean",10.73515,5,"Trough","Uncolonized","Bare"
"2","Week_10","T5R1",2,2,"Al_mean",4.9858,5,"Trough","Uncolonized","Bare"
"3","Week_10","T5R1",5,2,"Al_mean",8.2287,5,"Mound","Uncolonized","Bare"
"4","Week_10","T5R1",6,2,"Al_mean",3.1174,5,"Mound","Uncolonized","Bare"
"5","Week_10","T5R2",1,2,"Al_mean",9.17915,5,"Trough","Uncolonized","Bare"
"6","Week_10","T5R2",2,2,"Al_mean",6.43925,5,"Trough","Uncolonized","Bare"
"7","Week_10","T5R2",5,2,"Al_mean",5.79485,5,"Mound","Uncolonized","Bare"
"8","Week_10","T5R2",6,3,"Al_mean",6.80093333333333,5,"Mound","Uncolonized","Bare"
"9","Week_10","T5R3",1,2,"Al_mean",2.99075,5,"Trough","Uncolonized","Bare"
"10","Week_10","T5R3",2,2,"Al_mean",4.07745,5,"Trough","Uncolonized","Bare"
"11","Week_10","T5R3",5,2,"Al_mean",3.40875,5,"Mound","Uncolonized","Bare"
"12","Week_10","T5R3",6,2,"Al_mean",5.0314,5,"Mound","Uncolonized","Bare"
"13","Week_5","T5R1",1,2,"Al_mean",5.5159,5,"Trough","Uncolonized","Bare"
"14","Week_5","T5R1",2,2,"Al_mean",2.3645,5,"Trough","Uncolonized","Bare"
"15","Week_5","T5R1",5,2,"Al_mean",7.33915,5,"Mound","Uncolonized","Bare"
"16","Week_5","T5R1",6,2,"Al_mean",3.7719,5,"Mound","Uncolonized","Bare"
"17","Week_5","T5R2",1,2,"Al_mean",4.6454,5,"Trough","Uncolonized","Bare"
"18","Week_5","T5R2",2,2,"Al_mean",6.3096,5,"Trough","Uncolonized","Bare"
"19","Week_5","T5R2",5,2,"Al_mean",5.00305,5,"Mound","Uncolonized","Bare"
"20","Week_5","T5R2",6,2,"Al_mean",4.95765,5,"Mound","Uncolonized","Bare"
"21","Week_5","T5R3",1,2,"Al_mean",4.13525,5,"Trough","Uncolonized","Bare"
"22","Week_5","T5R3",2,2,"Al_mean",3.8433,5,"Trough","Uncolonized","Bare"
"23","Week_5","T5R3",5,2,"Al_mean",1.77355,5,"Mound","Uncolonized","Bare"
"24","Week_5","T5R3",6,2,"Al_mean",5.9229,5,"Mound","Uncolonized","Bare"
"25","Week_10","T5R1",3,3,"Al_mean",7.8619,5,"Trough","Inoculated","Crust"
"26","Week_10","T5R1",4,2,"Al_mean",2.56205,5,"Trough","Inoculated","Crust"
"27","Week_10","T5R1",7,3,"Al_mean",4.10623333333333,5,"Mound","Inoculated","Crust"
"28","Week_10","T5R1",8,2,"Al_mean",4.489,5,"Mound","Inoculated","Crust"
"29","Week_10","T5R2",3,2,"Al_mean",4.444,5,"Trough","Inoculated","Crust"
"30","Week_10","T5R2",4,2,"Al_mean",5.1007,5,"Trough","Inoculated","Crust"
"31","Week_10","T5R2",7,2,"Al_mean",6.2354,5,"Mound","Inoculated","Crust"
"32","Week_10","T5R2",8,2,"Al_mean",4.6442,5,"Mound","Inoculated","Crust"
"33","Week_10","T5R3",3,2,"Al_mean",2.57545,5,"Trough","Inoculated","Crust"
"34","Week_10","T5R3",4,2,"Al_mean",3.9301,5,"Trough","Inoculated","Crust"
"35","Week_10","T5R3",7,2,"Al_mean",2.0804,5,"Mound","Inoculated","Crust"
"36","Week_10","T5R3",8,2,"Al_mean",2.1967,5,"Mound","Inoculated","Crust"
"37","Week_5","T5R1",3,3,"Al_mean",2.14446666666667,5,"Trough","Inoculated","Crust"
"38","Week_5","T5R1",4,2,"Al_mean",3.4298,5,"Trough","Inoculated","Crust"
"39","Week_5","T5R1",7,2,"Al_mean",3.2954,5,"Mound","Inoculated","Crust"
"40","Week_5","T5R1",8,2,"Al_mean",4.6837,5,"Mound","Inoculated","Crust"
"41","Week_5","T5R2",3,2,"Al_mean",3.72375,5,"Trough","Inoculated","Crust"
"42","Week_5","T5R2",4,2,"Al_mean",6.41845,5,"Trough","Inoculated","Crust"
"43","Week_5","T5R2",7,2,"Al_mean",5.207,5,"Mound","Inoculated","Crust"
"44","Week_5","T5R2",8,2,"Al_mean",7.05165,5,"Mound","Inoculated","Crust"
"45","Week_5","T5R3",3,2,"Al_mean",2.85895,5,"Trough","Inoculated","Crust"
"46","Week_5","T5R3",4,2,"Al_mean",3.2762,5,"Trough","Inoculated","Crust"
"47","Week_5","T5R3",7,2,"Al_mean",1.30805,5,"Mound","Inoculated","Crust"
"48","Week_5","T5R3",8,2,"Al_mean",0.09535,5,"Mound","Inoculated","Crust"
