Bin_Number,Inoculation,Surface,mean_P,sd_P,n
T5R1,Inoculated,Mound,0.039516666666666665,0.010047304779558215,4
T5R1,Inoculated,Trough,0.021570833333333334,0.004600852879871537,4
T5R1,Uncolonized,Mound,0.0249,0.00403773864103824,4
T5R1,Uncolonized,Trough,0.026025,0.0043329166466326875,4
T5R2,Inoculated,Mound,0.030524999999999997,0.0048049453690963,4
T5R2,Inoculated,Trough,0.036125000000000004,0.01454650588056573,4
T5R2,Uncolonized,Mound,0.022708333333333334,0.010570096709323164,4
T5R2,Uncolonized,Trough,0.0197125,0.0018281935528457237,4
T5R3,Inoculated,Mound,0.0243125,0.020426427938661555,4
T5R3,Inoculated,Trough,0.05955,0.013750878759798102,4
T5R3,Uncolonized,Mound,0.021575,0.01460761787561545,4
T5R3,Uncolonized,Trough,0.025375,0.009358641283149317,4
