File #,DateTime,Operator,Name,ID,Field1,Field2,test,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,Cl,Cl Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Br,Br Err,Rb,Rb Err,Sr,Sr Err,Mo,Mo Err,Cd,Cd Err,Ba,Ba Err,Hg,Hg Err,Pb,Pb Err,Cal Check,,,,,,
4270,2/1/2015 12:09,Supervisor,guat,p,t1,b1,mm,PlantsF1,PlantsF1,60,,0,,0,,0,< LOD,0.257,0.0317,0.0239,4.214,0.0567,0.0092,0.0035,0.1596,0.0036,0.0451,0.0131,0.3723,0.0034,2.8408,0.0539,< LOD,0.0002,< LOD,0,0.0003,0.0002,0.0022,0.0009,0.017,0.0011,< LOD,0.0001,0.0022,0.0002,0.0013,0.0003,< LOD,0.0003,< LOD,0.0001,0.0006,0.0003,< LOD,0.0004,< LOD,0.0004,< LOD,0.0001,< LOD,0.0011,< LOD,0.0164,< LOD,0.0001,< LOD,0.0009,Passed,,,,,,
4271,2/1/2015 12:14,Supervisor,guat,p,t1,b1,mm,PlantsF1,PlantsF1,60,,0,,0,,0,0.5774,0.2751,< LOD,0.0241,1.3234,0.0335,0.0252,0.0041,0.0871,0.0031,0.1075,0.0154,0.5264,0.0036,4.2359,0.0728,< LOD,0.0002,< LOD,0,< LOD,0.0002,0.0058,0.0012,0.0333,0.0017,< LOD,0.0001,0.0066,0.0004,0.001,0.0003,< LOD,0.0004,< LOD,0.0001,< LOD,0.0004,< LOD,0.0005,< LOD,0.0005,< LOD,0.0001,< LOD,0.001,< LOD,0.0205,< LOD,0.0001,< LOD,0.001,Passed,,,,,,
4272,2/1/2015 12:16,Supervisor,guat,p,t1,b1,mm,PlantsF1,PlantsF1,60,,0,,0,,0,< LOD,0.2627,0.0549,0.0259,3.8243,0.0554,0.0477,0.0045,0.1897,0.0041,0.3698,0.0188,0.4205,0.0028,0.7403,0.018,< LOD,0.0003,< LOD,0,0.0003,0.0002,0.0007,0.0004,0.0043,0.0004,< LOD,0.0001,0.0005,0.0001,0.0006,0.0001,< LOD,0.0002,< LOD,0.0001,0.0006,0.0002,0.0003,0.0003,< LOD,0.0002,< LOD,0.0002,< LOD,0.0018,< LOD,0.0093,< LOD,0.0002,< LOD,0.0005,Passed,,,,,,
4273,2/1/2015 12:21,Supervisor,guat,p,t1,b1,mm,PlantsF1,PlantsF1,60,,0,,0,,0,< LOD,0.283,0.0365,0.0262,7.9955,0.0786,0.0107,0.0039,0.0184,0.0022,0.052,0.0138,0.5422,0.0041,2.5589,0.0393,< LOD,0.0002,< LOD,0,< LOD,0.0002,0.0024,0.0008,0.009,0.0007,< LOD,0.0001,0.0024,0.0002,0.0007,0.0002,< LOD,0.0002,< LOD,0.0001,0.0008,0.0002,0.0011,0.0003,0.0004,0.0003,< LOD,0.0002,< LOD,0.0015,< LOD,0.0128,< LOD,0.0002,< LOD,0.0007,Passed,,,,,,
4274,2/1/2015 12:24,Supervisor,guat,p,t2,b1,mm,PlantsF1,PlantsF1,60,,0,,0,,0,< LOD,0.278,< LOD,0.0258,0.1759,0.0175,0.0293,0.0042,0.0441,0.0028,0.2047,0.0178,0.7442,0.0042,1.081,0.0239,< LOD,0.0003,< LOD,0,0.0003,0.0003,0.0013,0.0004,0.0053,0.0005,< LOD,0.0001,0.0021,0.0002,0.0029,0.0002,< LOD,0.0002,< LOD,0.0001,0.0006,0.0002,0.0019,0.0003,0.0006,0.0003,< LOD,0.0002,< LOD,0.0016,< LOD,0.0107,< LOD,0.0002,< LOD,0.0006,Passed,,,,,,
4275,2/1/2015 12:25,Supervisor,guat,p,t2,b2,mm,PlantsF1,PlantsF1,60,,0,,0,,0,< LOD,0.2801,0.1035,0.0285,14.1827,0.105,0.0197,0.0044,0.0427,0.0027,0.1465,0.0155,0.5481,0.004,2.7371,0.0405,0.0005,0.0002,< LOD,0,0.0002,0.0002,0.0015,0.0009,0.0048,0.0005,< LOD,0.0001,0.0008,0.0001,0.0011,0.0002,< LOD,0.0002,< LOD,0.0001,0.0014,0.0003,0.0008,0.0003,0.0006,0.0003,< LOD,0.0002,< LOD,0.0014,< LOD,0.0115,< LOD,0.0002,< LOD,0.0007,Passed,,,,,,
4276,2/1/2015 12:28,Supervisor,guat,p,t2,b3,mm,PlantsF1,PlantsF1,60,,0,,0,,0,0.4377,0.2583,0.0538,0.0249,5.6982,0.0665,0.014,0.0038,0.2384,0.0043,0.1,0.0148,0.4455,0.0035,1.3106,0.0261,< LOD,0.0002,< LOD,0,< LOD,0.0002,0.0006,0.0005,0.003,0.0004,< LOD,0.0001,0.0007,0.0001,0.0005,0.0002,< LOD,0.0002,< LOD,0.0001,0.0008,0.0002,0.0006,0.0003,0.0004,0.0003,< LOD,0.0002,< LOD,0.0016,< LOD,0.0105,< LOD,0.0002,< LOD,0.0006,Passed,,,,,,
4277,2/1/2015 12:30,Supervisor,guat,p,t2,b4,mm,PlantsF1,PlantsF1,60,,0,,0,,0,0.4726,0.2671,0.0431,0.0252,0.579,0.0239,0.033,0.004,0.1287,0.0034,0.1306,0.0155,0.5861,0.0039,1.8525,0.0385,0.0003,0.0002,< LOD,0,< LOD,0.0002,0.001,0.0006,0.0076,0.0007,< LOD,0.0001,0.0012,0.0002,0.0008,0.0002,0.0003,0.0003,< LOD,0.0001,0.001,0.0003,0.0019,0.0004,0.0005,0.0004,< LOD,0.0002,< LOD,0.0011,< LOD,0.0122,< LOD,0.0002,< LOD,0.0008,Passed,,,,,,
4278,2/1/2015 12:32,Supervisor,guat,p,t3,b1,mm,PlantsF1,PlantsF1,60,,0,,0,,0,0.351,0.2532,< LOD,0.0226,0.2731,0.0182,0.0223,0.0036,0.0098,0.0021,0.1132,0.0151,0.3975,0.0031,1.9362,0.0457,< LOD,0.0002,< LOD,0,< LOD,0.0002,0.0015,0.0007,0.0156,0.0011,< LOD,0.0001,0.0035,0.0003,0.001,0.0003,< LOD,0.0003,< LOD,0.0001,< LOD,0.0003,0.0005,0.0004,< LOD,0.0004,< LOD,0.0001,< LOD,0.001,< LOD,0.0166,< LOD,0.0001,< LOD,0.0009,Passed,,,,,,
4279,2/1/2015 12:39,Supervisor,guat,p,t3,b2,mm,PlantsF1,PlantsF1,60,,0,,0,,0,< LOD,0.2763,0.0329,0.0266,6.441,0.0712,0.0089,0.0038,0.1606,0.0038,0.1212,0.0157,0.585,0.004,1.3433,0.0264,< LOD,0.0002,< LOD,0,< LOD,0.0002,0.0025,0.0006,0.0032,0.0004,< LOD,0.0001,0.0009,0.0001,0.0007,0.0002,< LOD,0.0002,< LOD,0.0001,0.0004,0.0002,0.0006,0.0003,0.0005,0.0003,< LOD,0.0002,< LOD,0.0016,< LOD,0.011,< LOD,0.0002,< LOD,0.0006,Passed,,,,,,
4280,2/1/2015 12:42,Supervisor,guat,p,t3,b3,mm,PlantsF1,PlantsF1,60,,0,,0,,0,< LOD,0.2924,0.1232,0.0311,15.6441,0.1108,0.007,0.0039,0.0274,0.0025,0.2173,0.017,1.1421,0.0059,1.4578,0.0253,< LOD,0.0003,< LOD,0,0.0004,0.0002,0.0024,0.0008,0.0033,0.0004,< LOD,0.0001,0.0008,0.0001,0.0017,0.0002,< LOD,0.0002,< LOD,0.0001,0.0009,0.0002,0.0014,0.0003,0.0009,0.0002,< LOD,0.0002,< LOD,0.0018,< LOD,0.0101,< LOD,0.0002,< LOD,0.0005,Passed,,,,,,
4281,2/1/2015 12:45,Supervisor,guat,p,t3,b3,mm,PlantsF1,PlantsF1,60,,0,,0,,0,0.3484,0.2866,0.0614,0.0275,5.4993,0.0661,0.016,0.0042,0.013,0.0023,0.0363,0.0147,0.5837,0.0041,2.0762,0.0322,< LOD,0.0003,< LOD,0,0.0003,0.0002,0.002,0.0006,0.0033,0.0004,< LOD,0.0001,0.0008,0.0001,0.0012,0.0002,< LOD,0.0002,< LOD,0.0001,0.0005,0.0002,0.0008,0.0003,0.0006,0.0003,< LOD,0.0002,< LOD,0.0016,< LOD,0.0107,< LOD,0.0002,< LOD,0.0006,Passed,,,,,,
4282,2/1/2015 12:48,Supervisor,guat,p,t3,con,mm,PlantsF1,PlantsF1,60,,0,,0,,0,0.3406,0.3096,0.0692,0.0337,0.0724,0.0183,0.2117,0.0075,0.2602,0.0048,0.0422,0.0149,1.557,0.0068,0.3796,0.0122,0.0003,0.0003,< LOD,0,< LOD,0.0003,0.1349,0.0017,0.0114,0.0008,0.0004,0.0002,0.0012,0.0001,0.0022,0.0001,< LOD,0.0001,< LOD,0.0002,0.0005,0.0002,0.0066,0.0002,0.0008,0.0002,< LOD,0.0003,< LOD,0.0022,< LOD,0.0079,< LOD,0.0002,< LOD,0.0004,Passed,,,,,,
