Bin_Number,Inoculation,sd_P.x,n.x,Mound,Trough,mean_P.x,n.y,mound_sd,trough_sd,mean_P.y,sd_P.y,mound_n,trough_n,se_diff
T5R1,Inoculated,0.010047304779558215,4,0.039516666666666665,NA,0.039516666666666665,4,0.010047304779558215,NA,0.039516666666666665,0.010047304779558215,4,NA,NA
T5R1,Inoculated,0.010047304779558215,4,0.039516666666666665,NA,0.039516666666666665,4,0.010047304779558215,NA,0.021570833333333334,0.004600852879871537,NA,4,NA
T5R1,Inoculated,0.010047304779558215,4,0.039516666666666665,NA,0.021570833333333334,4,NA,0.004600852879871537,0.039516666666666665,0.010047304779558215,4,NA,NA
T5R1,Inoculated,0.010047304779558215,4,0.039516666666666665,NA,0.021570833333333334,4,NA,0.004600852879871537,0.021570833333333334,0.004600852879871537,NA,4,NA
T5R1,Inoculated,0.004600852879871537,4,NA,0.021570833333333334,0.039516666666666665,4,0.010047304779558215,NA,0.039516666666666665,0.010047304779558215,4,NA,NA
T5R1,Inoculated,0.004600852879871537,4,NA,0.021570833333333334,0.039516666666666665,4,0.010047304779558215,NA,0.021570833333333334,0.004600852879871537,NA,4,NA
T5R1,Inoculated,0.004600852879871537,4,NA,0.021570833333333334,0.021570833333333334,4,NA,0.004600852879871537,0.039516666666666665,0.010047304779558215,4,NA,NA
T5R1,Inoculated,0.004600852879871537,4,NA,0.021570833333333334,0.021570833333333334,4,NA,0.004600852879871537,0.021570833333333334,0.004600852879871537,NA,4,NA
T5R1,Uncolonized,0.00403773864103824,4,0.0249,NA,0.0249,4,0.00403773864103824,NA,0.0249,0.00403773864103824,4,NA,NA
T5R1,Uncolonized,0.00403773864103824,4,0.0249,NA,0.0249,4,0.00403773864103824,NA,0.026025,0.0043329166466326875,NA,4,NA
T5R1,Uncolonized,0.00403773864103824,4,0.0249,NA,0.026025,4,NA,0.0043329166466326875,0.0249,0.00403773864103824,4,NA,NA
T5R1,Uncolonized,0.00403773864103824,4,0.0249,NA,0.026025,4,NA,0.0043329166466326875,0.026025,0.0043329166466326875,NA,4,NA
T5R1,Uncolonized,0.0043329166466326875,4,NA,0.026025,0.0249,4,0.00403773864103824,NA,0.0249,0.00403773864103824,4,NA,NA
T5R1,Uncolonized,0.0043329166466326875,4,NA,0.026025,0.0249,4,0.00403773864103824,NA,0.026025,0.0043329166466326875,NA,4,NA
T5R1,Uncolonized,0.0043329166466326875,4,NA,0.026025,0.026025,4,NA,0.0043329166466326875,0.0249,0.00403773864103824,4,NA,NA
T5R1,Uncolonized,0.0043329166466326875,4,NA,0.026025,0.026025,4,NA,0.0043329166466326875,0.026025,0.0043329166466326875,NA,4,NA
T5R2,Inoculated,0.0048049453690963,4,0.030524999999999997,NA,0.030524999999999997,4,0.0048049453690963,NA,0.030524999999999997,0.0048049453690963,4,NA,NA
T5R2,Inoculated,0.0048049453690963,4,0.030524999999999997,NA,0.030524999999999997,4,0.0048049453690963,NA,0.036125000000000004,0.01454650588056573,NA,4,NA
T5R2,Inoculated,0.0048049453690963,4,0.030524999999999997,NA,0.036125000000000004,4,NA,0.01454650588056573,0.030524999999999997,0.0048049453690963,4,NA,NA
T5R2,Inoculated,0.0048049453690963,4,0.030524999999999997,NA,0.036125000000000004,4,NA,0.01454650588056573,0.036125000000000004,0.01454650588056573,NA,4,NA
T5R2,Inoculated,0.01454650588056573,4,NA,0.036125000000000004,0.030524999999999997,4,0.0048049453690963,NA,0.030524999999999997,0.0048049453690963,4,NA,NA
T5R2,Inoculated,0.01454650588056573,4,NA,0.036125000000000004,0.030524999999999997,4,0.0048049453690963,NA,0.036125000000000004,0.01454650588056573,NA,4,NA
T5R2,Inoculated,0.01454650588056573,4,NA,0.036125000000000004,0.036125000000000004,4,NA,0.01454650588056573,0.030524999999999997,0.0048049453690963,4,NA,NA
T5R2,Inoculated,0.01454650588056573,4,NA,0.036125000000000004,0.036125000000000004,4,NA,0.01454650588056573,0.036125000000000004,0.01454650588056573,NA,4,NA
T5R2,Uncolonized,0.010570096709323164,4,0.022708333333333334,NA,0.022708333333333334,4,0.010570096709323164,NA,0.022708333333333334,0.010570096709323164,4,NA,NA
T5R2,Uncolonized,0.010570096709323164,4,0.022708333333333334,NA,0.022708333333333334,4,0.010570096709323164,NA,0.0197125,0.0018281935528457237,NA,4,NA
T5R2,Uncolonized,0.010570096709323164,4,0.022708333333333334,NA,0.0197125,4,NA,0.0018281935528457237,0.022708333333333334,0.010570096709323164,4,NA,NA
T5R2,Uncolonized,0.010570096709323164,4,0.022708333333333334,NA,0.0197125,4,NA,0.0018281935528457237,0.0197125,0.0018281935528457237,NA,4,NA
T5R2,Uncolonized,0.0018281935528457237,4,NA,0.0197125,0.022708333333333334,4,0.010570096709323164,NA,0.022708333333333334,0.010570096709323164,4,NA,NA
T5R2,Uncolonized,0.0018281935528457237,4,NA,0.0197125,0.022708333333333334,4,0.010570096709323164,NA,0.0197125,0.0018281935528457237,NA,4,NA
T5R2,Uncolonized,0.0018281935528457237,4,NA,0.0197125,0.0197125,4,NA,0.0018281935528457237,0.022708333333333334,0.010570096709323164,4,NA,NA
T5R2,Uncolonized,0.0018281935528457237,4,NA,0.0197125,0.0197125,4,NA,0.0018281935528457237,0.0197125,0.0018281935528457237,NA,4,NA
T5R3,Inoculated,0.020426427938661555,4,0.0243125,NA,0.0243125,4,0.020426427938661555,NA,0.0243125,0.020426427938661555,4,NA,NA
T5R3,Inoculated,0.020426427938661555,4,0.0243125,NA,0.0243125,4,0.020426427938661555,NA,0.05955,0.013750878759798102,NA,4,NA
T5R3,Inoculated,0.020426427938661555,4,0.0243125,NA,0.05955,4,NA,0.013750878759798102,0.0243125,0.020426427938661555,4,NA,NA
T5R3,Inoculated,0.020426427938661555,4,0.0243125,NA,0.05955,4,NA,0.013750878759798102,0.05955,0.013750878759798102,NA,4,NA
T5R3,Inoculated,0.013750878759798102,4,NA,0.05955,0.0243125,4,0.020426427938661555,NA,0.0243125,0.020426427938661555,4,NA,NA
T5R3,Inoculated,0.013750878759798102,4,NA,0.05955,0.0243125,4,0.020426427938661555,NA,0.05955,0.013750878759798102,NA,4,NA
